user_id,user_gender,bucketized_user_age,user_occupation_label,user_occupation_text,user_zip_code
130,True,35.0,18,technician/engineer,50021
3829,False,25.0,0,academic/educator,22307
1265,False,18.0,21,writer,49321
2896,True,18.0,14,sales/marketing,60073
5264,True,18.0,17,college/grad student,15217
4957,True,25.0,1,artist,48197
5294,True,25.0,1,artist,60626
2064,True,35.0,0,academic/educator,01020
4121,True,45.0,6,executive/managerial,08876
3010,True,25.0,12,programmer,78759
2173,True,50.0,13,retired,87502
1019,True,35.0,0,academic/educator,60640
3942,True,18.0,17,college/grad student,49855
5673,False,35.0,0,academic/educator,55417
1100,True,25.0,11,other/not specified,60090
1902,True,25.0,20,unemployed,93536
595,True,25.0,6,executive/managerial,10019
2804,False,35.0,11,other/not specified,46234
1457,True,25.0,0,academic/educator,95472
3887,True,18.0,17,college/grad student,80513
329,True,35.0,6,executive/managerial,02115
3842,False,35.0,16,self-employed,92054
4104,True,18.0,16,self-employed,42141
4258,True,25.0,18,technician/engineer,19711
1835,True,25.0,20,unemployed,11501
2756,True,18.0,17,college/grad student,97331
124,True,56.0,6,executive/managerial,91356
1602,False,25.0,6,executive/managerial,10562
912,False,35.0,1,artist,91324
3589,False,45.0,11,other/not specified,80010
5083,True,25.0,17,college/grad student,16803
1333,True,25.0,18,technician/engineer,06460
4285,True,35.0,11,other/not specified,62704
2262,True,45.0,18,technician/engineer,48116
1545,True,25.0,21,writer,20009
2247,True,45.0,1,artist,60613
1758,False,25.0,11,other/not specified,33067-1400
5698,True,35.0,14,sales/marketing,55418
1184,False,25.0,17,college/grad student,92354
3108,True,50.0,4,doctor/health care,22039
4102,True,1.0,17,K-12 student,48655
4356,True,35.0,16,self-employed,85730
5501,True,25.0,1,artist,33334
3107,True,25.0,18,technician/engineer,92656
1181,True,35.0,6,executive/managerial,20716
1362,True,35.0,12,programmer,75069
4728,True,25.0,20,unemployed,31401
3669,True,25.0,14,sales/marketing,60148
3483,False,45.0,6,executive/managerial,30260
3475,True,25.0,14,sales/marketing,33133
3071,True,25.0,0,academic/educator,02115
2628,False,25.0,1,artist,11217
5096,True,25.0,9,lawyer,75206
1274,True,45.0,6,executive/managerial,37343
3665,True,25.0,11,other/not specified,95903
5333,False,25.0,6,executive/managerial,02332
5153,True,25.0,6,executive/managerial,60046
3205,False,35.0,16,self-employed,80304
3970,False,25.0,1,artist,02903
2642,True,25.0,11,other/not specified,33073
5156,True,18.0,14,sales/marketing,10024
1426,True,18.0,14,sales/marketing,94070
1860,True,56.0,16,self-employed,94591
1947,True,25.0,6,executive/managerial,94041
5831,True,25.0,0,academic/educator,92120
4732,True,25.0,14,sales/marketing,24450
15,True,25.0,6,executive/managerial,22903
2928,True,25.0,1,artist,90068
1243,True,35.0,15,scientist,92627
4425,True,35.0,6,executive/managerial,98607
1958,False,25.0,0,academic/educator,17055
2875,True,25.0,1,artist,10013
3610,True,18.0,4,doctor/health care,30064
2942,False,50.0,0,academic/educator,93103
1128,True,25.0,0,academic/educator,72701
689,False,50.0,11,other/not specified,48103
1494,True,25.0,18,technician/engineer,38104
1884,True,45.0,21,writer,93108
2641,True,25.0,4,doctor/health care,19428
3812,True,35.0,18,technician/engineer,78749
867,True,45.0,12,programmer,95814
5140,True,25.0,4,doctor/health care,35205
3649,False,25.0,11,other/not specified,94115
3503,True,18.0,17,college/grad student,59715
2251,True,35.0,14,sales/marketing,60626
6001,False,25.0,6,executive/managerial,94117
3430,False,45.0,0,academic/educator,15208
5990,False,25.0,21,writer,90046
5067,True,56.0,13,retired,97520
4784,False,35.0,4,doctor/health care,48105
3272,True,35.0,11,other/not specified,08330
5054,True,35.0,1,artist,20818
5015,True,35.0,4,doctor/health care,92672
958,True,35.0,1,artist,48116
5242,True,25.0,0,academic/educator,14608
5178,True,50.0,11,other/not specified,45420
2030,True,25.0,17,college/grad student,77345
4354,True,35.0,14,sales/marketing,78611
5523,True,35.0,11,other/not specified,60187
4703,True,25.0,6,executive/managerial,02035
392,True,18.0,6,executive/managerial,20037
2730,True,35.0,9,lawyer,48640
3280,True,25.0,6,executive/managerial,33486
5418,False,25.0,11,other/not specified,53589
2891,False,18.0,17,college/grad student,66044
1768,True,45.0,16,self-employed,75067
3509,True,18.0,17,college/grad student,02115
869,True,18.0,21,writer,92026
4347,False,18.0,21,writer,77304
5359,True,18.0,16,self-employed,27705
3471,True,18.0,17,college/grad student,80302
716,True,18.0,17,college/grad student,98188
2230,False,45.0,0,academic/educator,60302
300,True,25.0,6,executive/managerial,78664
4207,True,35.0,0,academic/educator,90731
5099,True,18.0,11,other/not specified,02780
4298,False,18.0,14,sales/marketing,85705
922,True,56.0,16,self-employed,48009
4684,False,25.0,11,other/not specified,04473
2996,True,18.0,11,other/not specified,63011
6039,False,45.0,11,other/not specified,01060
4277,True,35.0,16,self-employed,98133
1008,True,35.0,2,clerical/admin,77064
4456,False,35.0,1,artist,49770
1794,True,25.0,9,lawyer,20878
2929,True,18.0,1,artist,60614
5046,True,25.0,16,self-employed,60614
321,True,18.0,17,college/grad student,55128
4310,True,25.0,17,college/grad student,57006
5364,False,25.0,2,clerical/admin,55408
135,True,18.0,17,college/grad student,20006
2271,True,50.0,14,sales/marketing,13210
192,True,18.0,0,academic/educator,10977
3853,True,25.0,14,sales/marketing,92614
3823,True,56.0,6,executive/managerial,93711
1564,True,50.0,0,academic/educator,01096
4318,True,25.0,3,customer service,02891
3630,True,18.0,17,college/grad student,77005
3249,False,25.0,17,college/grad student,92648
954,False,25.0,11,other/not specified,21030
2067,True,50.0,16,self-employed,06430
4585,True,35.0,6,executive/managerial,30324
1211,True,18.0,17,college/grad student,10027
1015,True,35.0,2,clerical/admin,11220
5167,True,18.0,15,scientist,06114
4032,True,25.0,12,programmer,56301
3615,True,25.0,18,technician/engineer,76028
114,False,25.0,1,artist,83712
850,True,35.0,11,other/not specified,60640
3447,True,25.0,12,programmer,94131
11,False,25.0,0,academic/educator,04093
5530,False,18.0,17,college/grad student,63141
3692,True,35.0,18,technician/engineer,89147
2529,False,35.0,8,homemaker,95903
855,False,18.0,1,artist,72701
4186,True,25.0,6,executive/managerial,33308
2608,False,25.0,0,academic/educator,10025
5759,False,25.0,0,academic/educator,08904
2938,False,25.0,11,other/not specified,55345
5715,True,18.0,17,college/grad student,90024
1570,True,18.0,18,technician/engineer,75093
5399,True,25.0,0,academic/educator,12553
2267,False,56.0,13,retired,37774
872,True,50.0,0,academic/educator,20815
3652,True,25.0,12,programmer,94608
4812,True,18.0,14,sales/marketing,25301
5812,False,25.0,6,executive/managerial,92120
5371,True,25.0,9,lawyer,55408
